"X","Y_Original","Y_Gaussian","Y_Lorentzian","Y_Pseudo_Voigt"
"4.71","-0.485231","-0.535861","-0.457348","-0.530808"
"4.72","-0.498134","-0.564392","-0.473742","-0.558479"
"4.73","-0.50929","-0.588919","-0.488767","-0.582269"
"4.74","-0.5199","-0.609862","-0.502611","-0.6026"
"4.75","-0.531007","-0.62765","-0.515431","-0.619901"
"4.76","-0.543479","-0.642703","-0.527362","-0.634585"
"4.77","-0.557687","-0.655415","-0.538517","-0.647038"
"4.78","-0.57381","-0.666156","-0.54899","-0.657618"
"4.79","-0.591792","-0.675257","-0.558865","-0.666645"
"4.8","-0.611096","-0.683013","-0.568209","-0.674402"
"4.81","-0.631283","-0.689679","-0.577081","-0.681132"
"4.82","-0.65152","-0.695474","-0.585532","-0.687042"
"4.83","-0.671064","-0.700581","-0.593603","-0.692303"
"4.84","-0.689124","-0.705151","-0.601332","-0.697059"
"4.85","-0.705177","-0.709306","-0.608747","-0.701421"
"4.86","-0.718408","-0.713144","-0.615877","-0.70548"
"4.87","-0.728893","-0.71674","-0.622742","-0.709307"
"4.88","-0.736162","-0.720153","-0.629362","-0.712954"
"4.89","-0.7406","-0.723427","-0.635753","-0.716463"
"4.9","-0.742459","-0.726598","-0.641932","-0.719865"
"4.91","-0.742162","-0.729691","-0.647913","-0.723185"
"4.92","-0.740485","-0.732726","-0.653711","-0.72644"
"4.93","-0.737969","-0.73572","-0.65934","-0.729646"
"4.94","-0.735418","-0.738684","-0.664814","-0.732813"
"4.95","-0.733456","-0.741627","-0.670144","-0.735952"
"4.96","-0.732656","-0.744557","-0.675343","-0.739067"
"4.97","-0.73333","-0.747476","-0.680419","-0.742163"
"4.98","-0.735931","-0.750389","-0.685382","-0.745245"
"4.99","-0.740265","-0.753297","-0.69024","-0.748314"
